,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,1,01,Spring,2011,Jan,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
6448,6449,01,Winter,2011,Oct,6,0,6,0,1,0.42,0.4242,0.67,0.3284,4,15,19
6446,6447,01,Winter,2011,Oct,4,0,6,0,1,0.44,0.4394,0.58,0.4179,2,6,8
11554,11555,01,Summer,2012,May,15,0,2,1,2,0.74,0.6667,0.45,0.2239,48,186,234
11553,11554,01,Summer,2012,May,14,0,2,1,2,0.74,0.6667,0.48,0.2537,37,167,204
11539,11540,01,Summer,2012,May,0,0,2,1,2,0.5,0.4848,0.59,0.194,7,28,35
11540,11541,01,Summer,2012,May,1,0,2,1,2,0.5,0.4848,0.63,0.1343,0,21,21
11541,11542,01,Summer,2012,May,2,0,2,1,2,0.5,0.4848,0.72,0.0896,1,7,8
11542,11543,01,Summer,2012,May,3,0,2,1,2,0.5,0.4848,0.77,0.0,1,2,3
11543,11544,01,Summer,2012,May,4,0,2,1,2,0.52,0.5,0.72,0.0896,1,7,8
11544,11545,01,Summer,2012,May,5,0,2,1,2,0.52,0.5,0.72,0.0896,0,17,17
11545,11546,01,Summer,2012,May,6,0,2,1,3,0.52,0.5,0.77,0.1045,2,24,26
11546,11547,01,Summer,2012,May,7,0,2,1,2,0.5,0.4848,0.94,0.2537,8,161,169
11547,11548,01,Summer,2012,May,8,0,2,1,2,0.52,0.5,0.94,0.2836,19,538,557
11548,11549,01,Summer,2012,May,9,0,2,1,2,0.54,0.5152,0.88,0.194,18,331,349
11549,11550,01,Summer,2012,May,10,0,2,1,1,0.62,0.5909,0.78,0.2537,30,144,174
11550,11551,01,Summer,2012,May,11,0,2,1,2,0.66,0.6212,0.65,0.2836,50,179,229
11551,11552,01,Summer,2012,May,12,0,2,1,2,0.7,0.6515,0.58,0.2239,41,228,269
11552,11553,01,Summer,2012,May,13,0,2,1,2,0.72,0.6667,0.51,0.2239,41,208,249
11556,11557,01,Summer,2012,May,17,0,2,1,1,0.74,0.6667,0.48,0.0896,65,616,681
2798,2799,01,Summer,2011,May,12,0,0,0,2,0.48,0.4697,0.77,0.1045,109,172,281
2799,2800,01,Summer,2011,May,13,0,0,0,2,0.5,0.4848,0.63,0.1642,123,209,332
6449,6450,01,Winter,2011,Oct,7,0,6,0,3,0.42,0.4242,0.67,0.2537,6,30,36
6450,6451,01,Winter,2011,Oct,8,0,6,0,2,0.4,0.4091,0.76,0.3284,9,58,67
6451,6452,01,Winter,2011,Oct,9,0,6,0,3,0.4,0.4091,0.82,0.3582,17,112,129
6452,6453,01,Winter,2011,Oct,10,0,6,0,3,0.4,0.4091,0.76,0.3582,21,100,121
6461,6462,01,Winter,2011,Oct,19,0,6,0,2,0.38,0.3939,0.82,0.194,27,99,126
6465,6466,01,Winter,2011,Oct,23,0,6,0,3,0.36,0.3485,0.93,0.2239,8,57,65
6464,6465,01,Winter,2011,Oct,22,0,6,0,2,0.36,0.3485,0.93,0.2239,12,58,70
6463,6464,01,Winter,2011,Oct,21,0,6,0,3,0.36,0.3636,0.87,0.1045,3,53,56
6462,6463,01,Winter,2011,Oct,20,0,6,0,3,0.36,0.3636,0.87,0.1045,8,58,66
6460,6461,01,Winter,2011,Oct,18,0,6,0,3,0.38,0.3939,0.87,0.2239,23,117,140
11562,11563,01,Summer,2012,May,23,0,2,1,1,0.6,0.5758,0.78,0.0,16,79,95
11561,11562,01,Summer,2012,May,22,0,2,1,1,0.64,0.6061,0.65,0.0,21,190,211
11560,11561,01,Summer,2012,May,21,0,2,1,1,0.64,0.6061,0.65,0.1343,31,251,282
11559,11560,01,Summer,2012,May,20,0,2,1,1,0.66,0.6212,0.61,0.1642,36,299,335
2797,2798,01,Summer,2011,May,11,0,0,0,1,0.46,0.4545,0.82,0.1045,109,141,250
6459,6460,01,Winter,2011,Oct,17,0,6,0,3,0.4,0.4091,0.76,0.194,58,170,228
6445,6446,01,Winter,2011,Oct,3,0,6,0,1,0.46,0.4545,0.59,0.4179,8,17,25
6444,6445,01,Winter,2011,Oct,2,0,6,0,1,0.46,0.4545,0.63,0.4179,21,46,67
11557,11558,01,Summer,2012,May,18,0,2,1,1,0.7,0.6515,0.54,0.1343,81,662,743
11555,11556,01,Summer,2012,May,16,0,2,1,1,0.74,0.6667,0.45,0.194,41,313,354
6458,6459,01,Winter,2011,Oct,16,0,6,0,2,0.4,0.4091,0.76,0.2985,58,165,223
6457,6458,01,Winter,2011,Oct,15,0,6,0,2,0.42,0.4242,0.71,0.2836,41,154,195
6456,6457,01,Winter,2011,Oct,14,0,6,0,2,0.42,0.4242,0.71,0.3582,33,147,180
6455,6456,01,Winter,2011,Oct,13,0,6,0,2,0.4,0.4091,0.82,0.3284,27,98,125
6454,6455,01,Winter,2011,Oct,12,0,6,0,2,0.4,0.4091,0.82,0.2537,28,130,158
6453,6454,01,Winter,2011,Oct,11,0,6,0,3,0.38,0.3939,0.82,0.3284,30,102,132
6447,6448,01,Winter,2011,Oct,5,0,6,0,2,0.44,0.4394,0.62,0.2985,1,4,5
2796,2797,01,Summer,2011,May,10,0,0,0,2,0.48,0.4697,0.63,0.194,109,155,264
2794,2795,01,Summer,2011,May,8,0,0,0,2,0.44,0.4394,0.77,0.1343,16,43,59
2803,2804,01,Summer,2011,May,17,0,0,0,2,0.48,0.4697,0.82,0.2537,60,136,196
14507,14508,01,Fall,2012,Sep,16,0,6,0,2,0.84,0.7879,0.49,0.1642,209,253,462
14506,14507,01,Fall,2012,Sep,15,0,6,0,2,0.86,0.7879,0.44,0.2836,257,306,563
14499,14500,01,Fall,2012,Sep,8,0,6,0,2,0.76,0.7121,0.58,0.2537,28,134,162
23,24,01,Spring,2011,Jan,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
22,23,01,Spring,2011,Jan,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
21,22,01,Spring,2011,Jan,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
20,21,01,Spring,2011,Jan,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
19,20,01,Spring,2011,Jan,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
18,19,01,Spring,2011,Jan,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
17,18,01,Spring,2011,Jan,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
14508,14509,01,Fall,2012,Sep,17,0,6,0,2,0.82,0.7727,0.52,0.0,205,258,463
16,17,01,Spring,2011,Jan,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
14,15,01,Spring,2011,Jan,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
14497,14498,01,Fall,2012,Sep,6,0,6,0,1,0.68,0.6364,0.79,0.0,13,23,36
14496,14497,01,Fall,2012,Sep,5,0,6,0,1,0.68,0.6364,0.79,0.0,2,20,22
2809,2810,01,Summer,2011,May,23,0,0,0,1,0.46,0.4545,0.77,0.194,64,82,146
2808,2809,01,Summer,2011,May,22,0,0,0,2,0.46,0.4545,0.82,0.0,32,68,100
14495,14496,01,Fall,2012,Sep,4,0,6,0,1,0.7,0.6515,0.7,0.0,3,9,12
14494,14495,01,Fall,2012,Sep,3,0,6,0,1,0.7,0.6515,0.7,0.1045,6,29,35
14493,14494,01,Fall,2012,Sep,2,0,6,0,1,0.7,0.6515,0.7,0.1642,8,61,69
14492,14493,01,Fall,2012,Sep,1,0,6,0,1,0.72,0.697,0.74,0.1343,11,68,79
13,14,01,Spring,2011,Jan,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
15,16,01,Spring,2011,Jan,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
11558,11559,01,Summer,2012,May,19,0,2,1,1,0.7,0.6515,0.54,0.1343,58,429,487
14509,14510,01,Fall,2012,Sep,18,0,6,0,2,0.82,0.7727,0.52,0.0,184,258,442
14511,14512,01,Fall,2012,Sep,20,0,6,0,3,0.76,0.7273,0.67,0.2537,67,140,207
2802,2803,01,Summer,2011,May,16,0,0,0,2,0.5,0.4848,0.72,0.194,75,139,214
2801,2802,01,Summer,2011,May,15,0,0,0,2,0.5,0.4848,0.72,0.0,113,153,266
2800,2801,01,Summer,2011,May,14,0,0,0,2,0.5,0.4848,0.68,0.1045,85,153,238
2786,2787,01,Summer,2011,May,0,0,0,0,1,0.42,0.4242,0.67,0.0896,19,77,96
2787,2788,01,Summer,2011,May,1,0,0,0,1,0.42,0.4242,0.69,0.1045,9,50,59
2788,2789,01,Summer,2011,May,2,0,0,0,1,0.42,0.4242,0.77,0.1045,7,43,50
2789,2790,01,Summer,2011,May,3,0,0,0,1,0.4,0.4091,0.82,0.1045,8,15,23
2790,2791,01,Summer,2011,May,4,0,0,0,1,0.4,0.4091,0.76,0.1045,6,11,17
2791,2792,01,Summer,2011,May,5,0,0,0,1,0.4,0.4091,0.82,0.0896,0,10,10
2792,2793,01,Summer,2011,May,6,0,0,0,2,0.4,0.4091,0.82,0.0896,4,9,13
14510,14511,01,Fall,2012,Sep,19,0,6,0,3,0.78,0.7424,0.62,0.0,157,235,392
2793,2794,01,Summer,2011,May,7,0,0,0,2,0.42,0.4242,0.77,0.0896,7,26,33
2795,2796,01,Summer,2011,May,9,0,0,0,2,0.46,0.4545,0.72,0.1343,45,96,141
14505,14506,01,Fall,2012,Sep,14,0,6,0,2,0.86,0.7879,0.44,0.1642,240,274,514
14504,14505,01,Fall,2012,Sep,13,0,6,0,2,0.82,0.7727,0.52,0.0896,237,267,504
14503,14504,01,Fall,2012,Sep,12,0,6,0,2,0.8,0.7576,0.55,0.1642,187,284,471
14502,14503,01,Fall,2012,Sep,11,0,6,0,2,0.8,0.7576,0.55,0.2239,219,273,492
14501,14502,01,Fall,2012,Sep,10,0,6,0,2,0.78,0.7273,0.55,0.194,128,289,417
14500,14501,01,Fall,2012,Sep,9,0,6,0,2,0.76,0.7121,0.58,0.194,62,175,237
14514,14515,01,Fall,2012,Sep,23,0,6,0,1,0.66,0.5909,0.89,0.0896,57,88,145
14513,14514,01,Fall,2012,Sep,22,0,6,0,2,0.66,0.5909,0.89,0.0,21,57,78
14512,14513,01,Fall,2012,Sep,21,0,6,0,3,0.64,0.5758,0.89,0.0,21,83,104
14498,14499,01,Fall,2012,Sep,7,0,6,0,2,0.74,0.6818,0.58,0.1343,8,58,66
10833,10834,01,Summer,2012,Apr,12,0,0,0,2,0.42,0.4242,0.67,0.2239,187,258,445
10822,10823,01,Summer,2012,Apr,1,0,0,0,2,0.36,0.3485,0.76,0.1642,13,49,62
10823,10824,01,Summer,2012,Apr,2,0,0,0,2,0.36,0.3485,0.76,0.1642,20,61,81
7186,7187,01,Winter,2011,Nov,1,0,2,1,1,0.36,0.3485,0.81,0.1343,3,8,11
7187,7188,01,Winter,2011,Nov,2,0,2,1,2,0.36,0.3485,0.81,0.1642,1,3,4
7188,7189,01,Winter,2011,Nov,3,0,2,1,2,0.36,0.3485,0.81,0.1343,1,5,6
7190,7191,01,Winter,2011,Nov,5,0,2,1,1,0.32,0.3182,0.81,0.194,0,18,18
7201,7202,01,Winter,2011,Nov,16,0,2,1,1,0.48,0.4697,0.44,0.1642,46,252,298
7191,7192,01,Winter,2011,Nov,6,0,2,1,1,0.32,0.3182,0.81,0.194,3,90,93
7192,7193,01,Winter,2011,Nov,7,0,2,1,1,0.34,0.3333,0.76,0.194,8,246,254
7193,7194,01,Winter,2011,Nov,8,0,2,1,1,0.36,0.3333,0.71,0.2537,17,402,419
7194,7195,01,Winter,2011,Nov,9,0,2,1,1,0.4,0.4091,0.66,0.1642,16,206,222
7195,7196,01,Winter,2011,Nov,10,0,2,1,1,0.44,0.4394,0.62,0.1343,21,114,135
7185,7186,01,Winter,2011,Nov,0,0,2,1,2,0.36,0.3485,0.87,0.1642,3,18,21
7196,7197,01,Winter,2011,Nov,11,0,2,1,1,0.46,0.4545,0.63,0.1045,16,101,117
7198,7199,01,Winter,2011,Nov,13,0,2,1,1,0.48,0.4697,0.55,0.194,20,147,167
7199,7200,01,Winter,2011,Nov,14,0,2,1,1,0.5,0.4848,0.48,0.2537,32,118,150
7200,7201,01,Winter,2011,Nov,15,0,2,1,1,0.5,0.4848,0.45,0.1343,38,148,186
2083,2084,01,Summer,2011,Apr,16,0,5,1,1,0.34,0.303,0.46,0.4179,42,125,167
2084,2085,01,Summer,2011,Apr,17,0,5,1,1,0.34,0.303,0.46,0.3284,36,245,281
2085,2086,01,Summer,2011,Apr,18,0,5,1,1,0.34,0.303,0.46,0.3284,36,205,241
2086,2087,01,Summer,2011,Apr,19,0,5,1,1,0.34,0.303,0.49,0.3284,16,120,136
2087,2088,01,Summer,2011,Apr,20,0,5,1,1,0.32,0.3182,0.53,0.194,2,75,77
2088,2089,01,Summer,2011,Apr,21,0,5,1,1,0.32,0.3333,0.53,0.1343,9,84,93
2089,2090,01,Summer,2011,Apr,22,0,5,1,1,0.3,0.303,0.56,0.1642,10,64,74
7197,7198,01,Winter,2011,Nov,12,0,2,1,1,0.5,0.4848,0.48,0.0896,23,153,176
2090,2091,01,Summer,2011,Apr,23,0,5,1,1,0.3,0.3182,0.61,0.0896,12,41,53
2069,2070,01,Summer,2011,Apr,2,0,5,1,3,0.26,0.2576,0.93,0.194,0,7,7
2067,2068,01,Summer,2011,Apr,0,0,5,1,3,0.26,0.2576,1.0,0.1642,0,6,6
9397,9398,01,Spring,2012,Feb,11,0,3,1,1,0.4,0.4091,0.58,0.1642,27,116,143
9395,9396,01,Spring,2012,Feb,9,0,3,1,2,0.36,0.3485,0.71,0.194,9,267,276
